08-06-2017 03:22:02 PM - tldextract - INFO - computed TLDs: [chikuho.fukuoka.jp, భారత్, 公司.hk, pvt.ge, matsuzaki.shizuoka.jp, name.eg, tsuruga.fukui.jp, اتصالات, in-addr.arpa, hisayama.fukuoka.jp, ...]
08-06-2017 03:22:02 PM - tldextract - WARNING - unable to cache TLDs in file /usr/local/lib/python2.7/dist-packages/tldextract/.tld_set: [Errno 13] Permission denied: '/usr/local/lib/python2.7/dist-packages/tldextract/.tld_set'
08-06-2017 03:22:02 PM - requests.packages.urllib3.connectionpool - INFO - Starting new HTTPS connection (1): www.clicanoo.re
08-06-2017 03:22:05 PM - requests.packages.urllib3.connectionpool - DEBUG - "GET / HTTP/1.1" 200 None
08-06-2017 03:22:05 PM - root - DEBUG - elim category url #main-content path starts with #
08-06-2017 03:22:05 PM - root - DEBUG - elim category url https://my.sendinblue.com/users/subscribe/js_id/2ko9g/id/2 for domain mismatch
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /user/login for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /user/register for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url / for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url https://www.payandread.fr/4DACTION/NewSwitchPublication?publicationID=18 for domain mismatch
08-06-2017 03:22:05 PM - root - DEBUG - elim category url https://www.youtube.com/user/clicanooVideo/videos for domain mismatch
08-06-2017 03:22:05 PM - root - DEBUG - elim category url https://www.facebook.com/clicanoo for domain mismatch
08-06-2017 03:22:05 PM - root - DEBUG - elim category url https://twitter.com/Clicanoore for domain mismatch
08-06-2017 03:22:05 PM - root - DEBUG - elim category url / for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url / for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/faitsdivers for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/societe for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/politique for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/economie for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/sport for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/culture-loisirs for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/case-mag for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/femme-mag for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/meca for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /ocean-indien/reunion/region/nord for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/40 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/58 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/61 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /ocean-indien/reunion/region/est for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/56 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/46 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/57 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/47 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/63 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/48 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /ocean-indien/reunion/region/sud for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/139 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/104 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/59 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/45 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/116 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/44 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/53 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/162 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/54 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /ocean-indien/reunion/region/ouest for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/55 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/62 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/80 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/60 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/43 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/170 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /rubrique/clicazot for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /aeroport/horaires-des-vols for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /user/login for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472237 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472237 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/271 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url //www3.smartadserver.com/ac?jump=1&nwid=1544&siteid=145205&pgname=clicanoo&fmtid=47446&visit=m&tmstp=[timestamp]&out=nonrich for domain mismatch
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472768 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/9 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472768 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472748 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/9 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472748 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472764 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/775 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472764 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472750 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/775 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472750 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472740 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/776 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472740 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Faits-Divers/Article/2017/06/08/Jeremy-23-ans-le-policier-reunionnais-qui-neutralise-lassaillant-de#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472736 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/9 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472736 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Economie/Article/2017/06/08/VIDEO-Conflit-Tereosplanteurs-la-prefecture-lance-un-appel-la#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472728 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/1 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472728 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/06/08/Attention-aux-risques-dintoxication-pendant-lhiver-austral_472728#disqus_thread for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472731 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/1 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472731 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/06/08/Vigilance-crues-dans-lEst-de-La-Reunion_472731#disqus_thread for >1 path chunks or size path chunks
